time, x, y, theta,
0.032, -6.07301e-06, -5.40904e-05, 8.2723e-07, 
0.064, 0.00155893, 1.45527e-05, -0.00107259, 
0.096, 0.00308578, 9.55598e-05, -0.00226282, 
0.128, 0.00459469, -8.23011e-07, -0.00284639, 
0.16, 0.00599578, 2.00189e-05, -0.00334245, 
0.192, 0.00764337, 5.40893e-05, -0.00330475, 
0.224, 0.00921425, -2.64238e-05, -0.0031052, 
0.256, 0.0107067, 3.10303e-05, -0.00245349, 
0.288, 0.0122731, -0.000118531, -0.00205578, 
0.32, 0.013783, -2.49753e-05, -0.00172116, 
0.352, 0.0153879, -3.4186e-05, -0.00132378, 
0.384, 0.0168985, 9.53624e-06, -0.00141708, 
0.416, 0.0183988, -0.00011408, -0.000976982, 
0.448, 0.0198892, -2.02641e-05, -0.00145071, 
0.48, 0.021466, -5.50756e-05, -0.00130442, 
0.512, 0.0229801, -8.34331e-05, -0.00122582, 
0.544, 0.0245965, -0.000208362, -0.000916462, 
0.576, 0.0261074, -5.55381e-06, -0.000700441, 
0.608, 0.0278574, -7.34781e-05, 0.00108661, 
0.64, 0.029559, -9.39493e-05, 0.00148739, 
0.672, 0.031256, -4.47966e-05, 0.00222332, 
0.704, 0.0329074, 1.29757e-05, 0.00295859, 
0.736, 0.0344615, -3.16906e-05, 0.0037797, 
0.768, 0.0361817, -3.56111e-05, 0.0044298, 
0.8, 0.0380213, -4.46947e-05, 0.0049036, 
0.832, 0.0395098, 6.23716e-05, 0.00523741, 
0.864, 0.0413062, 1.07172e-05, 0.00572287, 
0.896, 0.0429786, -3.44402e-05, 0.00599382, 
0.928, 0.0445438, -2.57009e-05, 0.0063151, 
0.96, 0.0462101, 2.67436e-06, 0.00712923, 
0.992, 0.0478625, 2.54285e-05, 0.00719831, 
1.024, 0.0494384, 0.000118121, 0.00817186, 
1.056, 0.0511035, 1.84471e-06, 0.00837079, 
1.088, 0.05279, 4.59158e-05, 0.009009, 
1.12, 0.054315, 3.17329e-05, 0.00956708, 
1.152, 0.0560103, 9.9983e-05, 0.0098206, 
1.184, 0.0576148, 0.000122315, 0.0108683, 
1.216, 0.0592366, 0.000104919, 0.0114211, 
1.248, 0.0608709, 0.000127551, 0.012047, 
1.28, 0.0626543, 0.000128673, 0.0127466, 
1.312, 0.064324, 0.000202003, 0.0132775, 
1.344, 0.0659436, 0.000162899, 0.013974, 
1.376, 0.0675854, 0.000223183, 0.0141103, 
1.408, 0.0692118, 0.000256276, 0.0147348, 
1.44, 0.0709014, 0.000343561, 0.0150408, 
1.472, 0.0723917, 0.000310334, 0.0155801, 
1.504, 0.074088, 0.000376857, 0.0162419, 
1.536, 0.0758155, 0.000406588, 0.0168633, 
1.568, 0.0773132, 0.000371379, 0.017514, 
1.6, 0.0790038, 0.000375262, 0.0180826, 
1.632, 0.0805328, 0.000382469, 0.0183175, 
1.664, 0.0821276, 0.000516568, 0.019323, 
1.696, 0.0837949, 0.000485323, 0.0201069, 
1.728, 0.0852329, 0.000455882, 0.0206429, 
1.76, 0.0869581, 0.000584477, 0.0214026, 
1.792, 0.0885661, 0.000640984, 0.0220328, 
1.824, 0.090263, 0.000602785, 0.0225015, 
1.856, 0.0918839, 0.000650535, 0.0232598, 
1.888, 0.0933466, 0.000749706, 0.0242902, 
1.92, 0.0950908, 0.000736879, 0.0248561, 
1.952, 0.096577, 0.000853592, 0.0254832, 
1.984, 0.0982584, 0.000785118, 0.0261785, 
